visit_datetime,rolling_avg_wait_time,rolling_avg_satisfaction,rolling_left_without_being_seen_rate,rolling_avg_nurse_patient_ratio,anomaly_count
2024-01-07T18:11:04.000000,96.26,2.58,0.08,3.5,0
2024-01-07T19:54:25.000000,98.02,2.54,0.1,3.54,1
2024-01-07T22:16:11.000000,98.74,2.5,0.1,3.56,1
2024-01-07T22:27:53.000000,98.42,2.5,0.1,3.58,1
2024-01-08T01:58:05.000000,98.98,2.5,0.12,3.56,1
2024-01-08T04:29:36.000000,96.42,2.56,0.12,3.48,1
2024-01-08T05:05:59.000000,90.6,2.62,0.12,3.44,1
2024-01-08T05:06:34.000000,90.36,2.64,0.12,3.38,1
2024-01-08T05:49:25.000000,90.02,2.66,0.12,3.4,1
2024-01-08T06:13:11.000000,88.68,2.66,0.12,3.36,1
2024-01-08T07:26:46.000000,85.9,2.66,0.12,3.32,1
2024-01-08T08:15:55.000000,90.52,2.62,0.12,3.32,1
2024-01-08T08:22:31.000000,91.32,2.58,0.12,3.34,1
2024-01-08T11:47:15.000000,91.22,2.58,0.12,3.36,1
2024-01-08T14:20:46.000000,92.0,2.56,0.12,3.38,1
2024-01-08T14:39:00.000000,95.52,2.52,0.14,3.38,1
2024-01-08T19:49:35.000000,92.28,2.6,0.14,3.3,1
2024-01-08T20:33:39.000000,87.18,2.68,0.14,3.22,1
2024-01-08T21:06:24.000000,84.18,2.74,0.14,3.16,1
2024-01-08T23:52:04.000000,84.56,2.72,0.14,3.14,1
2024-01-09T00:50:37.000000,86.52,2.72,0.16,3.16,1
2024-01-09T01:55:05.000000,84.16,2.78,0.16,3.12,1
2024-01-09T02:34:01.000000,81.7,2.84,0.14,3.08,1
2024-01-09T04:07:10.000000,85.26,2.8,0.14,3.1,1
2024-01-09T07:13:20.000000,87.98,2.76,0.14,3.12,1
2024-01-09T08:18:23.000000,91.86,2.68,0.14,3.2,1
2024-01-09T09:15:56.000000,94.74,2.64,0.14,3.22,1
2024-01-09T10:59:18.000000,94.78,2.64,0.14,3.22,1
2024-01-09T14:42:34.000000,93.78,2.66,0.14,3.16,1
2024-01-09T15:01:04.000000,94.44,2.64,0.14,3.14,1
2024-01-09T16:10:58.000000,98.38,2.58,0.14,3.22,1
2024-01-09T18:58:43.000000,100.12,2.52,0.14,3.22,1
2024-01-09T20:03:29.000000,99.42,2.54,0.14,3.18,1
2024-01-09T20:24:26.000000,97.16,2.6,0.14,3.14,1
2024-01-09T20:33:33.000000,97.04,2.62,0.14,3.1,1
2024-01-09T21:32:41.000000,98.28,2.58,0.14,3.12,1
2024-01-09T22:56:12.000000,98.14,2.6,0.14,3.14,1
2024-01-09T23:34:37.000000,97.74,2.62,0.14,3.12,1
2024-01-10T01:48:27.000000,96.48,2.68,0.14,3.1,1
2024-01-10T05:44:12.000000,99.76,2.62,0.14,3.12,1
2024-01-10T09:01:18.000000,100.46,2.6,0.14,3.16,1
2024-01-10T09:11:19.000000,101.04,2.58,0.14,3.16,1
2024-01-10T09:31:25.000000,103.34,2.52,0.14,3.16,1
2024-01-10T10:21:01.000000,101.1,2.58,0.12,3.1,1
2024-01-10T11:01:00.000000,97.12,2.66,0.12,3.02,1
2024-01-10T13:04:25.000000,102.02,2.58,0.12,3.08,1
2024-01-10T18:33:42.000000,102.1,2.58,0.12,3.1,1
2024-01-10T19:10:46.000000,98.52,2.62,0.12,3.06,1
2024-01-11T02:02:15.000000,96.3,2.68,0.12,3.0,1
2024-01-11T02:59:45.000000,95.42,2.68,0.12,2.98,2
2024-01-11T03:24:18.000000,93.62,2.74,0.1,2.96,2
2024-01-11T07:31:07.000000,93.08,2.74,0.08,2.94,1
2024-01-11T09:58:29.000000,94.94,2.74,0.08,2.96,1
2024-01-11T10:25:58.000000,95.18,2.76,0.08,2.94,1
2024-01-11T15:18:57.000000,97.38,2.76,0.06,2.94,1
2024-01-11T19:24:14.000000,97.48,2.76,0.06,2.96,1
2024-01-11T23:04:28.000000,97.36,2.74,0.06,2.98,1
2024-01-11T23:25:00.000000,98.76,2.7,0.06,3.04,0
2024-01-12T00:08:50.000000,99.0,2.68,0.06,3.02,0
2024-01-12T00:39:11.000000,97.18,2.74,0.04,3.02,0
2024-01-12T01:34:16.000000,95.12,2.8,0.04,2.98,1
2024-01-12T08:25:05.000000,89.26,2.88,0.04,2.92,1
2024-01-12T10:21:27.000000,93.28,2.88,0.04,2.92,1
2024-01-12T10:45:18.000000,94.58,2.84,0.04,2.96,1
2024-01-12T14:16:44.000000,96.32,2.8,0.04,2.98,1
2024-01-12T14:21:02.000000,93.84,2.8,0.02,2.96,1
2024-01-12T14:52:55.000000,94.62,2.76,0.02,3.0,0
2024-01-12T15:42:26.000000,96.08,2.7,0.02,3.06,0
2024-01-12T17:11:52.000000,96.02,2.7,0.02,3.08,0
2024-01-12T19:35:55.000000,95.78,2.7,0.02,3.1,0
2024-01-12T21:56:45.000000,91.84,2.76,0.0,3.04,0
2024-01-13T03:06:12.000000,91.36,2.76,0.0,3.02,0
2024-01-13T03:49:03.000000,91.46,2.76,0.0,3.06,0
2024-01-13T07:40:35.000000,88.24,2.78,0.0,3.04,0
2024-01-13T10:57:12.000000,85.26,2.84,0.0,3.02,0
2024-01-13T11:23:51.000000,81.48,2.9,0.0,2.96,1
2024-01-13T15:50:39.000000,77.72,2.96,0.0,2.9,1
2024-01-13T16:00:36.000000,76.92,2.98,0.0,2.84,1
2024-01-13T19:32:14.000000,78.52,2.94,0.0,2.88,1
2024-01-13T20:50:24.000000,76.94,3.0,0.0,2.84,1
2024-01-13T21:00:49.000000,72.84,3.08,0.0,2.8,1
2024-01-13T21:54:47.000000,71.98,3.12,0.0,2.78,1
2024-01-14T01:04:45.000000,72.56,3.1,0.0,2.82,1
2024-01-14T02:15:16.000000,72.06,3.12,0.0,2.82,1
2024-01-14T03:32:54.000000,74.0,3.06,0.0,2.88,1
2024-01-14T03:36:29.000000,72.46,3.1,0.0,2.88,1
2024-01-14T07:31:55.000000,75.5,3.04,0.0,2.88,1
2024-01-14T07:45:58.000000,75.02,3.04,0.0,2.86,1
2024-01-14T08:25:47.000000,78.18,2.96,0.0,2.92,1
2024-01-14T09:10:33.000000,74.72,3.02,0.0,2.9,1
2024-01-14T10:16:53.000000,74.06,3.04,0.0,2.9,1
2024-01-14T10:53:05.000000,76.52,3.0,0.02,2.92,1
2024-01-14T11:23:36.000000,73.94,3.06,0.02,2.88,1
2024-01-14T13:16:40.000000,73.58,3.06,0.02,2.86,1
2024-01-14T13:52:07.000000,75.54,3.0,0.02,2.92,1
2024-01-14T15:06:44.000000,70.94,3.06,0.02,2.88,1
2024-01-14T15:49:46.000000,73.06,3.0,0.02,2.9,1
2024-01-14T16:29:10.000000,74.02,2.98,0.02,2.9,1
2024-01-14T17:53:06.000000,76.16,2.92,0.04,2.96,1
2024-01-14T18:54:39.000000,77.24,2.92,0.06,2.98,1
2024-01-14T19:43:50.000000,79.42,2.86,0.06,3.0,0
2024-01-14T20:07:26.000000,78.44,2.9,0.06,3.0,0
2024-01-15T00:28:39.000000,75.9,2.92,0.06,2.98,1
2024-01-15T04:38:03.000000,82.42,2.84,0.06,3.04,0
2024-01-15T04:47:02.000000,76.78,2.9,0.06,2.98,1
2024-01-15T09:36:58.000000,77.64,2.88,0.06,3.0,0
2024-01-15T10:21:30.000000,78.36,2.88,0.06,3.0,0
2024-01-15T10:29:26.000000,77.04,2.92,0.06,2.96,1
2024-01-15T10:35:08.000000,77.52,2.9,0.06,3.0,0
2024-01-15T12:53:42.000000,79.34,2.84,0.08,3.0,0
2024-01-15T15:52:23.000000,81.28,2.78,0.08,3.06,0
2024-01-15T18:41:15.000000,82.6,2.74,0.08,3.1,0
2024-01-15T20:35:04.000000,81.46,2.74,0.08,3.1,0
2024-01-15T21:11:38.000000,84.48,2.72,0.08,3.12,0
2024-01-15T23:43:02.000000,87.28,2.72,0.08,3.12,0
2024-01-16T01:09:03.000000,89.3,2.72,0.08,3.14,0
2024-01-16T02:22:38.000000,89.58,2.72,0.08,3.16,0
2024-01-16T05:30:53.000000,89.3,2.72,0.08,3.16,0
2024-01-16T05:40:00.000000,93.2,2.66,0.08,3.22,0
2024-01-16T05:56:48.000000,93.18,2.68,0.08,3.18,0
2024-01-16T07:45:13.000000,94.72,2.64,0.08,3.24,0
2024-01-16T08:37:21.000000,94.98,2.64,0.08,3.24,0
2024-01-16T10:06:58.000000,96.88,2.6,0.08,3.24,0
2024-01-16T11:17:33.000000,97.04,2.6,0.08,3.24,0
2024-01-16T11:24:29.000000,96.62,2.62,0.08,3.18,0
2024-01-16T13:08:05.000000,98.66,2.56,0.1,3.22,1
2024-01-16T13:36:10.000000,99.38,2.54,0.1,3.26,1
2024-01-16T13:44:02.000000,101.66,2.48,0.1,3.32,2
2024-01-16T14:20:05.000000,100.9,2.5,0.1,3.34,1
2024-01-16T14:44:00.000000,104.62,2.42,0.1,3.4,2
2024-01-16T16:00:44.000000,104.68,2.4,0.1,3.38,2
2024-01-16T16:51:51.000000,104.96,2.38,0.1,3.38,2
2024-01-16T20:11:40.000000,108.44,2.34,0.12,3.42,2
2024-01-16T20:46:10.000000,111.96,2.26,0.12,3.46,2
2024-01-16T22:43:11.000000,112.88,2.26,0.12,3.46,2
2024-01-16T23:09:57.000000,112.56,2.28,0.12,3.42,2
2024-01-17T03:21:16.000000,110.64,2.3,0.12,3.42,2
2024-01-17T08:35:03.000000,111.28,2.28,0.12,3.44,2
2024-01-17T14:07:45.000000,110.16,2.28,0.12,3.42,2
2024-01-17T15:13:13.000000,110.18,2.28,0.12,3.36,2
2024-01-17T16:55:45.000000,110.2,2.28,0.12,3.32,2
2024-01-17T20:53:08.000000,108.58,2.28,0.1,3.3,2
2024-01-17T22:29:41.000000,110.92,2.22,0.1,3.32,2
2024-01-17T22:58:03.000000,111.52,2.22,0.1,3.36,2
2024-01-18T01:10:01.000000,110.34,2.24,0.1,3.34,2
2024-01-18T01:34:55.000000,110.84,2.24,0.1,3.36,2
2024-01-18T03:15:54.000000,109.76,2.28,0.1,3.34,2
2024-01-18T03:54:17.000000,111.72,2.26,0.1,3.36,2
2024-01-18T04:06:50.000000,112.34,2.26,0.08,3.38,1
2024-01-18T05:04:40.000000,108.7,2.32,0.06,3.32,1
2024-01-18T08:01:11.000000,108.26,2.32,0.06,3.3,1
2024-01-18T09:34:55.000000,111.18,2.28,0.06,3.32,1
2024-01-18T11:31:48.000000,111.34,2.28,0.06,3.32,1
2024-01-18T12:36:29.000000,107.52,2.28,0.06,3.34,1
2024-01-18T15:20:21.000000,110.6,2.22,0.08,3.4,1
2024-01-18T17:26:15.000000,111.16,2.2,0.08,3.42,1
2024-01-18T19:50:56.000000,111.44,2.18,0.08,3.44,1
2024-01-18T21:11:05.000000,115.44,2.12,0.08,3.5,1
2024-01-19T02:32:56.000000,115.64,2.12,0.08,3.52,1
2024-01-19T03:07:37.000000,115.3,2.12,0.06,3.54,1
2024-01-19T03:48:07.000000,114.64,2.14,0.06,3.52,1
2024-01-19T06:45:19.000000,116.58,2.1,0.06,3.54,1
2024-01-19T06:52:18.000000,117.58,2.1,0.06,3.56,1
2024-01-19T06:57:16.000000,113.32,2.16,0.06,3.5,1
2024-01-19T08:00:13.000000,108.82,2.2,0.06,3.5,1
2024-01-19T08:38:12.000000,107.78,2.2,0.06,3.48,1
2024-01-19T08:39:14.000000,109.42,2.16,0.06,3.48,1
2024-01-19T09:09:16.000000,108.42,2.22,0.06,3.44,1
2024-01-19T09:54:54.000000,105.54,2.24,0.06,3.4,1
2024-01-19T11:12:46.000000,110.08,2.18,0.06,3.44,1
2024-01-19T12:09:08.000000,113.6,2.16,0.06,3.46,1
2024-01-19T12:23:02.000000,117.8,2.1,0.06,3.5,1
2024-01-19T13:35:12.000000,116.06,2.14,0.06,3.48,1
2024-01-19T14:27:09.000000,120.18,2.12,0.06,3.5,2
2024-01-19T15:53:50.000000,120.6,2.1,0.06,3.52,2
2024-01-19T16:33:53.000000,118.74,2.16,0.04,3.48,1
2024-01-19T16:35:35.000000,118.42,2.16,0.04,3.46,1
2024-01-19T17:07:01.000000,117.16,2.2,0.04,3.46,1
2024-01-19T19:12:50.000000,117.7,2.2,0.04,3.46,1
2024-01-19T19:56:41.000000,114.6,2.24,0.04,3.42,1
2024-01-19T23:01:18.000000,118.26,2.18,0.04,3.48,1
2024-01-20T04:37:10.000000,117.36,2.22,0.04,3.5,1
2024-01-20T05:08:49.000000,114.92,2.24,0.02,3.46,1
2024-01-20T06:21:19.000000,114.68,2.24,0.02,3.46,1
2024-01-20T07:17:30.000000,113.8,2.24,0.04,3.44,1
2024-01-20T09:11:28.000000,113.58,2.24,0.04,3.44,1
2024-01-20T10:16:59.000000,112.58,2.26,0.04,3.44,1
2024-01-20T12:42:59.000000,111.68,2.28,0.04,3.4,1
2024-01-20T16:13:59.000000,109.7,2.34,0.04,3.34,1
2024-01-20T18:00:28.000000,110.08,2.34,0.04,3.4,1
2024-01-20T18:07:03.000000,112.0,2.28,0.06,3.44,1
2024-01-20T18:21:33.000000,110.98,2.32,0.06,3.44,1
2024-01-20T21:46:32.000000,112.62,2.32,0.06,3.48,1
2024-01-21T02:46:31.000000,114.74,2.26,0.08,3.52,1
2024-01-21T06:54:08.000000,114.38,2.28,0.08,3.52,1
2024-01-21T09:36:24.000000,116.58,2.22,0.1,3.56,2
2024-01-21T09:46:38.000000,115.22,2.24,0.1,3.52,2
2024-01-21T10:14:00.000000,114.56,2.24,0.12,3.52,2
2024-01-21T10:47:32.000000,113.18,2.26,0.12,3.5,2
2024-01-21T11:25:33.000000,113.72,2.24,0.12,3.52,2
2024-01-21T11:27:28.000000,111.52,2.3,0.12,3.48,2
2024-01-21T15:52:30.000000,111.48,2.3,0.14,3.48,2
2024-01-21T20:11:07.000000,111.62,2.28,0.14,3.48,2
2024-01-21T21:53:09.000000,109.18,2.34,0.14,3.46,2
2024-01-21T23:28:09.000000,109.62,2.34,0.12,3.48,2
2024-01-22T00:33:35.000000,108.64,2.38,0.12,3.44,2
2024-01-22T01:13:41.000000,108.94,2.36,0.12,3.42,2
2024-01-22T01:50:54.000000,105.38,2.4,0.12,3.36,2
2024-01-22T01:52:38.000000,107.86,2.36,0.12,3.34,2
2024-01-22T02:18:01.000000,111.12,2.36,0.14,3.36,2
2024-01-22T05:42:53.000000,115.18,2.34,0.14,3.4,2
2024-01-22T07:16:50.000000,112.16,2.4,0.14,3.36,2
2024-01-22T07:32:39.000000,107.72,2.42,0.14,3.34,2
2024-01-22T08:05:43.000000,108.14,2.42,0.14,3.36,2
2024-01-22T08:13:51.000000,107.32,2.44,0.14,3.3,2
2024-01-22T08:45:14.000000,106.54,2.44,0.14,3.32,2
2024-01-22T10:27:54.000000,109.72,2.44,0.14,3.32,2
2024-01-22T11:08:30.000000,110.76,2.38,0.14,3.36,2
2024-01-22T17:06:54.000000,111.84,2.36,0.14,3.36,2
2024-01-22T21:12:19.000000,108.38,2.36,0.14,3.36,2
2024-01-22T23:45:17.000000,103.84,2.4,0.14,3.3,2
2024-01-23T03:19:32.000000,99.86,2.46,0.14,3.26,2
2024-01-23T08:29:53.000000,103.24,2.4,0.14,3.3,2
2024-01-23T10:00:05.000000,97.9,2.46,0.14,3.26,2
2024-01-23T10:08:08.000000,97.34,2.48,0.14,3.24,2
2024-01-23T10:39:59.000000,99.58,2.42,0.14,3.26,2
2024-01-23T13:12:30.000000,102.66,2.38,0.14,3.3,2
2024-01-23T13:15:49.000000,102.94,2.36,0.14,3.28,2
2024-01-23T14:28:38.000000,103.44,2.34,0.14,3.26,2
2024-01-23T14:46:08.000000,102.9,2.38,0.14,3.26,2
2024-01-23T16:55:25.000000,99.22,2.46,0.14,3.18,2
2024-01-23T19:28:37.000000,99.88,2.44,0.14,3.18,2
2024-01-23T22:47:53.000000,98.32,2.48,0.14,3.16,2
2024-01-23T23:14:01.000000,99.32,2.48,0.14,3.18,2
2024-01-24T00:07:22.000000,97.74,2.54,0.12,3.18,1
2024-01-24T00:24:09.000000,98.52,2.52,0.12,3.22,1
2024-01-24T02:18:38.000000,98.44,2.52,0.12,3.2,1
2024-01-24T02:19:44.000000,98.9,2.52,0.12,3.22,1
2024-01-24T03:38:09.000000,102.4,2.46,0.12,3.28,2
2024-01-24T04:40:52.000000,105.64,2.4,0.12,3.28,2
2024-01-24T05:44:41.000000,103.38,2.48,0.1,3.22,2
2024-01-24T16:04:07.000000,104.78,2.44,0.1,3.22,2
2024-01-24T16:35:37.000000,101.18,2.5,0.1,3.2,1
2024-01-24T16:41:10.000000,98.48,2.58,0.08,3.12,0
2024-01-24T16:42:07.000000,99.66,2.54,0.08,3.12,0
2024-01-24T20:58:18.000000,96.94,2.6,0.06,3.06,0
2024-01-24T21:16:49.000000,96.96,2.6,0.06,3.04,0
2024-01-24T21:28:46.000000,95.22,2.62,0.04,3.02,0
2024-01-24T22:17:37.000000,93.72,2.68,0.04,2.98,1
2024-01-24T22:22:36.000000,96.48,2.64,0.04,3.0,0
2024-01-24T22:32:48.000000,101.32,2.58,0.04,3.06,0
2024-01-24T23:48:15.000000,98.22,2.62,0.02,3.04,0
2024-01-25T01:50:53.000000,98.54,2.62,0.02,3.02,0
2024-01-25T05:30:03.000000,99.56,2.58,0.02,3.0,0
2024-01-25T05:46:57.000000,99.78,2.58,0.02,2.98,1
2024-01-25T07:00:39.000000,99.2,2.58,0.02,2.96,1
2024-01-25T07:36:09.000000,98.46,2.62,0.02,2.96,1
2024-01-25T08:30:47.000000,98.28,2.62,0.02,2.98,1
2024-01-25T09:56:45.000000,96.12,2.66,0.02,2.98,1
2024-01-25T13:57:00.000000,91.7,2.7,0.0,2.94,1
2024-01-25T14:28:16.000000,87.76,2.72,0.0,2.92,1
2024-01-25T15:17:05.000000,88.7,2.68,0.0,2.94,1
2024-01-25T16:58:01.000000,92.5,2.66,0.0,2.94,1
2024-01-25T19:37:05.000000,92.86,2.64,0.0,2.94,1
2024-01-25T19:43:35.000000,94.5,2.6,0.0,2.98,1
2024-01-25T20:28:04.000000,94.78,2.6,0.0,2.98,1
2024-01-25T21:17:30.000000,89.12,2.66,0.0,2.92,1
2024-01-25T22:26:31.000000,92.64,2.64,0.0,2.92,1
2024-01-26T02:07:34.000000,92.44,2.64,0.0,2.92,1
2024-01-26T02:21:57.000000,91.62,2.68,0.0,2.9,1
2024-01-26T08:03:52.000000,97.9,2.64,0.0,2.94,1
2024-01-26T08:18:29.000000,97.52,2.64,0.0,2.92,1
2024-01-26T09:18:27.000000,96.5,2.64,0.0,2.92,1
2024-01-26T09:51:43.000000,100.74,2.58,0.02,2.96,1
2024-01-26T10:16:33.000000,101.72,2.54,0.02,3.0,0
2024-01-26T15:23:48.000000,100.72,2.56,0.02,3.0,0
2024-01-26T19:45:14.000000,99.92,2.56,0.02,3.02,0
2024-01-26T21:04:34.000000,101.08,2.54,0.02,3.02,0
2024-01-26T21:41:35.000000,102.76,2.52,0.02,3.04,0
2024-01-27T01:47:12.000000,102.72,2.52,0.02,3.02,0
2024-01-27T03:01:44.000000,102.54,2.5,0.02,3.02,0
2024-01-27T03:15:59.000000,102.1,2.5,0.02,3.02,0
2024-01-27T04:33:30.000000,101.84,2.5,0.02,3.0,0
2024-01-27T04:53:08.000000,101.36,2.5,0.02,3.0,0
2024-01-27T05:01:00.000000,102.3,2.46,0.02,3.04,1
2024-01-27T06:12:56.000000,103.88,2.42,0.02,3.04,1
2024-01-27T08:29:35.000000,103.22,2.44,0.02,3.02,1
2024-01-27T08:55:23.000000,103.14,2.44,0.02,3.02,1
2024-01-27T08:57:24.000000,100.54,2.46,0.02,3.02,1
2024-01-27T13:14:59.000000,99.18,2.46,0.02,3.02,1
2024-01-27T15:24:38.000000,100.76,2.4,0.02,3.08,1
2024-01-27T15:28:04.000000,101.96,2.4,0.02,3.1,1
2024-01-27T22:26:39.000000,101.52,2.4,0.02,3.04,1
2024-01-28T00:46:51.000000,101.34,2.4,0.02,3.04,1
2024-01-28T02:20:26.000000,99.88,2.46,0.02,3.0,1
2024-01-28T05:09:07.000000,99.56,2.46,0.02,2.98,2
2024-01-28T05:47:13.000000,99.94,2.46,0.02,3.02,1
2024-01-28T07:35:05.000000,100.02,2.46,0.02,3.04,1
2024-01-28T07:50:51.000000,100.36,2.44,0.02,3.04,1
2024-01-28T09:04:05.000000,97.48,2.5,0.02,3.04,0
2024-01-28T10:52:31.000000,94.38,2.52,0.02,3.02,0
2024-01-28T14:36:20.000000,94.52,2.52,0.02,3.02,0
2024-01-28T14:46:22.000000,94.28,2.54,0.02,3.04,0
2024-01-28T15:35:15.000000,93.78,2.56,0.02,3.04,0
2024-01-28T16:12:34.000000,91.42,2.58,0.02,3.04,0
2024-01-28T16:58:55.000000,91.44,2.6,0.02,3.04,0
2024-01-28T17:07:49.000000,93.16,2.56,0.02,3.08,0
2024-01-28T17:50:40.000000,92.76,2.58,0.02,3.06,0
2024-01-28T18:09:07.000000,91.44,2.6,0.02,3.02,0
2024-01-29T00:22:09.000000,91.26,2.62,0.02,3.02,0
2024-01-29T00:52:21.000000,96.28,2.6,0.02,3.02,0
2024-01-29T03:02:51.000000,97.64,2.58,0.02,3.02,0
2024-01-29T03:15:46.000000,98.82,2.58,0.02,3.02,0
2024-01-29T05:30:59.000000,98.72,2.58,0.02,3.02,0
2024-01-29T08:23:32.000000,98.12,2.6,0.02,3.04,0
2024-01-29T10:40:28.000000,95.66,2.66,0.02,2.98,1
2024-01-29T10:51:18.000000,96.62,2.64,0.02,3.04,0
2024-01-29T15:20:17.000000,91.98,2.72,0.02,2.98,1
2024-01-29T17:15:32.000000,90.18,2.78,0.02,2.98,1
2024-01-29T17:46:10.000000,93.84,2.74,0.02,3.0,0
2024-01-29T18:44:31.000000,87.6,2.78,0.02,2.96,1
2024-01-29T19:01:28.000000,90.96,2.72,0.02,3.02,0
2024-01-29T19:41:35.000000,89.06,2.76,0.02,3.02,0
2024-01-29T20:24:19.000000,88.18,2.76,0.0,3.02,0
2024-01-29T21:10:04.000000,92.76,2.72,0.0,3.06,0
2024-01-30T00:20:08.000000,97.76,2.7,0.02,3.1,0
2024-01-30T00:53:34.000000,99.32,2.7,0.02,3.08,0
2024-01-30T03:45:04.000000,97.24,2.76,0.02,3.08,0
2024-01-30T03:57:02.000000,94.12,2.8,0.02,3.08,0
2024-01-30T06:20:24.000000,95.08,2.74,0.02,3.12,0
2024-01-30T06:51:29.000000,95.46,2.72,0.02,3.14,0
2024-01-30T08:26:14.000000,94.8,2.76,0.02,3.1,0
